@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 13\nSize of the tree: 23\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 7\nSize of the tree: 12\n','Number of leaves: 8\nSize of the tree: 14\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

heart-c1,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,200,103,73,30,0,70.873786,29.126214,0,0.414994,0.291262,0.539687,58.709552,108.351678,102.432227,32220,-32117.567773,0.994488,312.815534,-311.821046,42.087188,0.408613,4232.996685,0.714286,40,0.297872,14,0.702128,33,0.285714,16,0.740741,0.714286,0.727273,0.41531,0.708207,0.68444,0.708738,0.292324,0.707676,0.291262,0.710044,0.708738,0.709124,0.41531,0.708207,0.649917,0.707386,0.708738,0.001,0,0.000902,0.000467,0.902,0.467,1228,25366,14017,70.873786,50,?,?,?,?
heart-c1,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,200,103,74,29,0,71.84466,28.15534,0,0.421684,0.344068,0.46634,69.35365,93.625902,102.432227,2236.870759,-2134.438532,0.994488,21.717192,-20.722704,33.72061,0.327385,3391.512601,0.839286,47,0.425532,20,0.574468,27,0.160714,9,0.701493,0.839286,0.764228,0.432211,0.714856,0.685464,0.718447,0.304693,0.695307,0.281553,0.723627,0.718447,0.712379,0.432211,0.714856,0.666623,0.707415,0.718447,0.012,0.001,0.012061,0.000551,12.061,0.551,6529,25366,14017,94.174757,85.436893,?,4,?,?
heart-c1,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,200,103,81,22,0,78.640777,21.359223,0,0.557422,0.33417,0.409716,67.35849,82.257781,102.432227,77.078368,25.353859,0.994488,0.748334,0.246154,38.047112,0.369389,3826.658601,0.946429,53,0.404255,19,0.595745,28,0.053571,3,0.736111,0.946429,0.828125,0.588754,0.763298,0.726139,0.786408,0.244235,0.755765,0.213592,0.812367,0.786408,0.77785,0.588754,0.763298,0.715333,0.773037,0.786408,0.007,0.001,0.007199,0.000422,7.199,0.422,6038,25366,14017,100,100,?,3,?,?
heart-c1,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,199,104,84,20,0,80.769231,19.230769,0,0.605911,0.278261,0.396303,56.108425,79.624102,103.315457,74.451119,28.864338,0.993418,0.715876,0.277542,49.188607,0.472967,4944.404334,0.894737,51,0.297872,14,0.702128,33,0.105263,6,0.784615,0.894737,0.836066,0.613583,0.799925,0.765594,0.807692,0.210828,0.789172,0.192308,0.812426,0.807692,0.805053,0.613583,0.799925,0.750583,0.801754,0.807692,0.006,0,0.005435,0.000284,5.435,0.284,6653,25249,14134,100,100,?,4,?,?
heart-c1,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,200,103,80,23,0,77.669903,22.330097,0,0.553777,0.332543,0.414902,67.03046,83.298974,102.432227,78.475074,23.957152,0.994488,0.761894,0.232594,37.998132,0.368914,3821.732354,0.75,42,0.191489,9,0.808511,38,0.25,14,0.823529,0.75,0.785047,0.556401,0.785334,0.758983,0.776699,0.218188,0.781812,0.223301,0.781202,0.776699,0.777121,0.556401,0.785334,0.727106,0.776362,0.776699,0.019,0,0.010364,0.000335,10.364,0.335,6114,25366,14017,100,100,?,3,?,?
heart-c1,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,200,103,73,30,0,70.873786,29.126214,0,0.400698,0.336197,0.477564,67.76697,95.879295,102.432227,102.417393,0.014833,0.994488,0.994344,0.000144,34.960455,0.339422,3516.212358,0.839286,47,0.446809,21,0.553191,26,0.160714,9,0.691176,0.839286,0.758065,0.412733,0.706497,0.677816,0.708738,0.316261,0.683739,0.291262,0.714759,0.708738,0.701519,0.412733,0.706497,0.660862,0.696105,0.708738,0.008,0,0.006198,0.000209,6.198,0.209,6600,25366,14017,100,100,?,4,?,?
heart-c1,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,201,102,70,32,0,68.627451,31.372549,0,0.356467,0.360295,0.492458,72.655546,98.958158,101.306814,1175.788291,-1074.481477,0.993204,11.527336,-10.534132,29.523409,0.289445,2967.3699,0.785714,44,0.434783,20,0.565217,26,0.214286,12,0.6875,0.785714,0.733333,0.361172,0.687112,0.670254,0.686275,0.335343,0.664657,0.313725,0.686017,0.686275,0.681793,0.361172,0.687112,0.645031,0.67619,0.686275,0.012,0.001,0.008869,0.000344,8.869,0.344,6821,25483,13900,95.098039,88.72549,?,5,?,?
heart-c1,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,200,103,80,23,0,77.669903,22.330097,0,0.549191,0.319159,0.406276,64.33261,81.567041,102.432227,75.492386,26.93984,0.994488,0.732936,0.261552,40.264063,0.390913,4049.632494,0.803571,45,0.255319,12,0.744681,35,0.196429,11,0.789474,0.803571,0.79646,0.549297,0.802242,0.761855,0.776699,0.228447,0.771553,0.223301,0.776421,0.776699,0.776487,0.549297,0.802242,0.753555,0.774574,0.776699,0.006,0.001,0.005899,0.000334,5.899,0.334,6113,25366,14017,100,100,?,3,?,?
heart-c1,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,200,103,85,18,0,82.524272,17.475728,0,0.642912,0.308797,0.375867,62.24414,75.461849,102.432227,66.793271,35.638956,0.994488,0.648478,0.346009,43.380113,0.421166,4363.035002,0.910714,51,0.276596,13,0.723404,34,0.089286,5,0.796875,0.910714,0.85,0.651165,0.837006,0.786701,0.825243,0.191124,0.808876,0.174757,0.831062,0.825243,0.82294,0.651165,0.837006,0.799229,0.820349,0.825243,0.009,0.001,0.008009,0.000403,8.009,0.403,6173,25366,14017,100,100,?,3,?,?
heart-c1,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20180607.1903,200,103,79,24,0,76.699029,23.300971,0,0.531995,0.305354,0.438865,61.549961,88.109953,102.432227,3297.149635,-3194.717408,0.994488,32.011162,-31.016674,42.560324,0.413207,4280.583231,0.767857,43,0.234043,11,0.765957,36,0.232143,13,0.796296,0.767857,0.781818,0.532401,0.765767,0.751086,0.76699,0.233176,0.766824,0.23301,0.768186,0.76699,0.767299,0.532401,0.765767,0.712201,0.765909,0.76699,0.011,0,0.009779,0.000383,9.779,0.383,6505,25366,14017,97.087379,96.601942,?,4,?,?
